no,control,stimulus,position,ui,response,rt,SR
10,I,N,top,button,down,847,1
10,I,M,top,slider,down,985,1
10,I,M,bottom,button,top,927,1
10,I,P,bottom,slider,top,833,1
10,I,P,top,button,down,1192,1
10,I,M,top,slider,down,805,1
10,I,P,bottom,button,top,943,1
10,I,P,bottom,slider,top,850,1
10,I,G,top,button,down,1264,1
10,I,N,top,slider,down,1072,1
10,I,P,bottom,button,top,808,1
10,I,M,top,slider,down,1090,1
10,I,P,bottom,button,top,1249,1
10,I,M,bottom,slider,top,848,1
10,I,G,bottom,button,top,986,1
10,I,N,bottom,slider,top,1074,1
10,I,G,bottom,button,top,910,1
10,I,G,top,slider,down,1926,1
10,I,M,top,button,down,934,1
10,I,M,bottom,slider,top,881,1
10,I,G,top,button,down,958,1
10,I,M,bottom,slider,top,832,1
10,I,M,bottom,button,top,960,1
10,I,P,bottom,slider,top,840,1
10,I,M,top,button,down,982,1
10,I,N,bottom,slider,top,1094,1
10,I,G,bottom,button,top,912,1
10,I,N,bottom,slider,top,1031,1
10,I,N,bottom,button,top,1054,1
10,I,P,top,slider,down,1264,1
10,I,M,bottom,button,top,976,1
10,I,M,top,slider,down,897,1
10,I,P,top,button,down,1063,1
10,I,G,top,slider,down,926,1
10,I,P,top,button,down,993,1
10,I,N,bottom,slider,top,855,1
10,I,M,top,button,down,1238,1
10,I,N,bottom,slider,top,600,1
10,I,P,top,button,down,1014,1
10,I,P,top,slider,down,1957,1
10,I,M,bottom,button,top,984,1
10,I,G,top,slider,down,888,1
10,I,N,bottom,button,top,975,1
10,I,N,bottom,slider,top,1736,1
10,I,P,top,button,down,1129,1
10,I,G,top,slider,down,823,1
10,I,N,top,button,down,1016,1
10,I,P,bottom,slider,top,903,1
10,I,M,top,button,down,949,1
10,I,P,top,slider,down,2817,1
10,I,G,bottom,button,top,862,1
10,I,G,top,slider,down,906,1
10,I,N,top,button,down,745,1
10,I,N,bottom,slider,top,863,1
10,I,N,top,button,down,744,1
10,I,G,bottom,slider,top,766,1
10,I,G,bottom,button,top,727,1
10,I,N,top,slider,down,688,1
10,D,G,bottom,button,top,1126,1
10,D,M,top,slider,down,931,1
10,D,P,bottom,button,top,673,1
10,D,G,bottom,slider,top,827,1
10,D,G,bottom,button,top,850,1
10,D,G,top,slider,down,700,1
10,D,G,top,button,down,810,1
10,D,P,top,slider,down,665,1
10,D,N,top,button,down,795,1
10,D,N,top,slider,down,728,1
10,D,N,top,button,down,816,1
10,D,P,top,slider,down,929,1
10,D,M,top,button,down,700,1
10,D,G,top,slider,down,748,1
10,D,P,top,button,down,941,1
10,D,G,top,slider,down,827,1
10,D,M,top,button,down,793,1
10,D,P,bottom,slider,top,1335,1
10,D,M,bottom,button,top,771,1
10,D,N,bottom,slider,top,937,1
10,D,N,bottom,button,top,923,1
10,D,M,top,slider,down,909,1
10,D,N,top,button,down,825,1
10,D,M,top,slider,down,706,1
10,D,M,top,button,down,745,1
10,D,P,top,slider,down,709,1
10,D,P,top,button,down,771,1
10,D,M,top,slider,down,742,1
10,D,P,bottom,button,top,754,1
10,D,P,top,slider,down,743,1
10,D,G,bottom,button,top,739,1
10,D,N,top,slider,down,659,1
10,D,P,bottom,button,top,708,1
10,D,M,top,slider,down,2672,1
10,D,P,bottom,button,top,721,1
10,D,M,bottom,slider,top,1579,1
10,D,G,bottom,button,top,703,1
10,D,N,bottom,slider,top,805,1
10,D,G,top,button,down,899,1
10,D,G,bottom,slider,top,792,1
10,D,M,top,button,down,1020,1
10,D,M,top,slider,down,835,1
10,D,G,bottom,button,top,778,1
10,D,M,top,slider,down,792,1
10,D,M,bottom,button,top,837,1
10,D,P,top,slider,down,887,1
10,D,M,top,button,down,719,1
10,D,N,top,slider,down,871,1
10,D,G,bottom,button,top,1124,1
10,D,N,top,slider,down,696,1
10,D,N,top,button,down,913,1
10,D,P,top,slider,down,740,1
10,D,M,top,button,down,780,1
10,D,M,top,slider,down,657,1
